Name,Lat,Long
Ablon,48.725535303926115,2.419565024387933
Achères-Grand-Cormier,48.955402243597064,2.093521901580611
Achères-Ville,48.97066504738864,2.0777317645655975
Aéroport Charles De Gaulle 1,49.00975645120457,2.5612326952251054
Aéroport Charles De Gaulle 2-TGV,49.00468746087186,2.57058948552452
Andrésy,48.97459610189591,2.048673060384748
Angerville,48.31129627381493,2.0035250000979885
Antony,48.754946524596164,2.3009868557349504
Arcueil-Cachan,48.798892499145914,2.3281369230647506
Argenteuil,48.94679694114592,2.2578974840274197
Arpajon,48.58600788986434,2.2410700809029738
Asnières-sur-Seine,48.90598139301879,2.2831992802228163
Athis-Mons,48.712628986541134,2.403633104908492
Auber,48.87241857222113,2.329680434243671
Aubergenville-Élisabethville,48.97214167597384,1.8483488082825008
Aulnay-sous-Bois,48.932196005027805,2.495513142584313
Auneau,48.44525370366525,1.7795837097232068
Auvers-sur-Oise,49.0704623625092,2.175304209946159
Avenue du Président Kennedy,48.85364805623443,2.2794870649625656
Avenue Foch,48.86983048806187,2.2748081536422338
Avenue Henri Martin,48.86546235614948,2.272159381919414
Bagneaux-sur-Loing,48.22954993651881,2.703936052961915
Bagneux,48.79333629530144,2.3222016336701206
Ballancourt,48.53150198555095,2.370518497736707
Beauvais,49.42620159135142,2.0885069725465346
Bécon-les-Bruyères,48.90576265617279,2.2699647791945132
Bellevue,48.81894780000307,2.2298080037295134
Belloy-Saint-Martin,49.09840026154347,2.361270555241056
Bessancourt,49.03531130758752,2.2102465210570594
Beynes,48.85999872950428,1.8755955903020667
Bibliothèque François Mitterrand,48.828880699842834,2.377697000269359
Bièvres,48.7510232741848,2.215860857351649
Boigneville,48.34166354368213,2.37881544331189
Bois-Colombes,48.914246473361345,2.2715987503897535
Bois-le-Roi,48.47552307144049,2.6920332598663985
Boissise-le-Roi,48.529746917640566,2.572073662735742
Boissy-l'Aillerie,49.0758428838879,2.024952931375387
Boissy-Saint-Léger,48.75218571985377,2.504559838342837
Bondy,48.89395181080176,2.480205915260598
Bonneval,48.18643720864527,1.3862450209435093
Bonnières,49.03876204381963,1.581532102335018
Boran-sur-Oise,49.166775038874846,2.362303528565356
Bouffémont-Moisselles,49.04516945934257,2.322917846227108
Bougival,48.854251702558244,2.1321324452511017
Boulainvilliers,48.85697199491403,2.274793324608879
Bouray,48.53289010230884,2.290082513840396
Bourg-la-Reine,48.78031379546215,2.312307716888593
Bourron-Marlotte-Grez,48.33268364377388,2.6924801905840656
Boussy-Saint-Antoine,48.68101661540746,2.533130656571037
Boutigny,48.43449061192662,2.376672818506991
Brétigny,48.60674494801255,2.3020596915826386
Breuillet,48.57750848849613,2.192063068770896
Breuillet-Village,48.56432890583279,2.170377259160042
Bréval,48.94345963195152,1.5417749316626157
Brunoy,48.69910694601902,2.506676982547087
Bruyères-sur-Oise,49.15512735960005,2.3248275129679956
Bry-sur-Marne,48.84519309572949,2.5256159084395455
Bueil,48.92530879617841,1.4434127390456772
Buno-Gironville,48.371383291366385,2.3872097971981003
Bures-sur-Yvette,48.69625274687923,2.1643782427741716
Bussy-Saint-Georges,48.83653643201063,2.7089817422622766
Cergy Le Haut,49.04787620243536,2.010999760003632
Cergy-Préfecture,49.03646397979169,2.079534939997373
Cergy-Saint-Christophe,49.04964700432274,2.0342944618526615
Cernay,48.98500470032524,2.2574741572503094
Cesson,48.56494949473517,2.594551816007612
Chamarande,48.51424587436435,2.2155178119494896
Champ de Courses d'Enghien,48.97951661734976,2.292168702598675
Champ de Mars,48.85645721060724,2.2898035182584997
Champagne-sur-Oise,49.13600056365779,2.2426777767781667
Champagne-sur-Seine,48.407282993152016,2.7989224425509667
Champbenoist-Poigny,48.545296264923,3.286679528098299
Champigny,48.806985070711534,2.5103072371156405
Champigny-sur-Yonne,48.32402397966083,3.1304207630989658
Changis-Saint-Jean,48.959164062128664,3.0261112942860646
Chanteloup-les-Vignes,48.97036693301553,2.027518775677184
Chantilly-Gouvieux,49.1870872042629,2.459549118844452
Chaponval,49.069314134565126,2.1416969327799578
Charles De Gaulle-Étoile,48.87420418539023,2.2947732143825266
Chars,49.16267057984195,1.936928635785826
Chartres,48.44806161422078,1.480196791448219
Chartrettes,48.48707639431202,2.69503731516767
Château-Thierry,49.03791491563732,3.4094570946747402
Châteaudun,48.07340700916987,1.338434763204049
Châtelet-Les Halles,48.861822271863645,2.3470126872387564
Châtou-Croissy,48.885211217274076,2.1559034718965218
Chaumont-en-Vexin,49.261198496038396,1.8730972125861565
Chaville Rive Droite,48.81257171624298,2.188259860000293
Chaville Rive Gauche,48.805195668207666,2.1892781185588643
Chaville-Vélizy,48.799728824409215,2.1836841098542354
Chelles-Gournay,48.87414408208016,2.583331158055107
Chemin d'Antony,48.74794190095198,2.312711013515798
Chézy-sur-Marne,48.99188915932341,3.364379893535807
Chilly-Mazarin,48.70088331811131,2.306992605850876
Choisy-le-Roi,48.76378680861681,2.4113867249361034
Cité Universitaire,48.82108964968064,2.338978472013181
Clamart,48.81423944456703,2.2744896721778813
Clichy-Levallois,48.89763744698274,2.297419948146662
Coignières,48.743483984990334,1.9210366000397376
Colombes,48.92391862562617,2.259345703052149
Combs-la-Ville - Quincy,48.66790196011456,2.547548045814365
Compans,48.99139140194027,2.6650598693073007
Conflans-Fin-d'Oise,48.99033259011907,2.0739553087324234
Conflans-Fin-d'Oise,48.99033252744756,2.0739471888196923
Conflans-Sainte-Honorine,48.99663008973013,2.0977739884634667
Corbeil-Essonnes,48.613427912659176,2.472933650458743
